method,n_target,t,n_steps,novelty,fit,latent_dim,image_dim
x_t,10,0.5,,2.908958911895752,2.72955584526062,32,1024
euler,10,0.5,,0.6852530241012573,0.37778058648109436,32,1024
x_t,10,0.6,,2.380188465118408,2.2105278968811035,32,1024
euler,10,0.6,,0.3927411437034607,0.23055176436901093,32,1024
x_t,10,0.7,,1.8192634582519531,1.6785967350006104,32,1024
euler,10,0.7,,0.18032206594944,0.19343499839305878,32,1024
x_t,10,0.8,,1.2184687852859497,1.133299469947815,32,1024
euler,10,0.8,,0.05009420961141586,0.17301343381404877,32,1024
x_t,10,0.9,,0.6095032691955566,0.5884366035461426,32,1024
euler,10,0.9,,0.00068698450922966,0.169716477394104,32,1024
x_t,10,0.95,,0.30460911989212036,0.33660298585891724,32,1024
euler,10,0.95,,0.0006745005957782269,0.17275506258010864,32,1024
x_t,10,0.96,,0.24346350133419037,0.2942436933517456,32,1024
euler,10,0.96,,0.0006778578390367329,0.17467591166496277,32,1024
x_t,10,0.97,,0.18217481672763824,0.2516469657421112,32,1024
euler,10,0.97,,0.0006639765342697501,0.1727563589811325,32,1024
x_t,10,0.98,,0.12163418531417847,0.2146221101284027,32,1024
euler,10,0.98,,0.0006404148298315704,0.17262117564678192,32,1024
x_t,10,0.99,,0.06081628426909447,0.1829632967710495,32,1024
euler,10,0.99,,0.0006827348843216896,0.17003680765628815,32,1024
x_t,10,0.995,,0.030458249151706696,0.17530721426010132,32,1024
euler,10,0.995,,0.0006744143320247531,0.1713050752878189,32,1024
dode,10,1.0,2.0,0.6800877451896667,0.5179288983345032,32,1024
dode,10,1.0,4.0,0.15758246183395386,0.19555112719535828,32,1024
dode,10,1.0,6.0,0.04847787693142891,0.17435628175735474,32,1024
dode,10,1.0,8.0,0.014928403310477734,0.17099545896053314,32,1024
dode,10,1.0,10.0,0.0007369773811660707,0.16950610280036926,32,1024
dode,10,1.0,12.0,0.0006843103328719735,0.17309792339801788,32,1024
dode,10,1.0,14.0,0.000674198498018086,0.1742856353521347,32,1024
dode,10,1.0,16.0,0.0006780295516364276,0.1694701910018921,32,1024
dode,10,1.0,18.0,0.0006965766660869122,0.17428897321224213,32,1024
